Team Number,Match Number,Auton Balls Scored,Auton Balls Passed,Teleop Balls Scored,Teleop Balls Passed,Auton Climb,Endgame Climb,Alliance,TeamMatch#,ConcatTeamMatchNum,ConcatMatchTeam,Total Fuel,Total Pass,Auto Climb,Endgame Climb Level,Level 1,Level 2,Level 3,Auto Climb Points,Endgame Climb Points,Climb Points,Points
59,8,0.00,0.00,88.50,16.50,,,FALSE,,"Team Number,8","qm8,Team Number",88.50,16.50,0,0,0,0,0,0,0,0,88.50
59,17,34.00,0.00,67.00,30.00,None,None,blue,2.00,"59,17","qm17,59",101.00,30.00,0,0,0,0,0,0,0,0,101.00
59,23,27.50,0.00,105.00,48.00,None,None,red,3.00,"59,23","qm23,59",132.50,48.00,0,0,0,0,0,0,0,0,132.50
59,33,26.00,0.00,100.00,25.00,None,None,red,4.00,"59,33","qm33,59",126.00,25.00,0,0,0,0,0,0,0,0,126.00
59,40,30.50,0.00,65.00,48.00,None,None,red,5.00,"59,40","qm40,59",95.50,48.00,0,0,0,0,0,0,0,0,95.50
59,45,5.00,1.00,70.00,23.00,None,None,red,6.00,"59,45","qm45,59",75.00,24.00,0,0,0,0,0,0,0,0,75.00
167,6,7.50,0.00,41.00,0.00,,,FALSE,,"59,6","qm6,59",48.50,0.00,0,0,0,0,0,0,0,0,48.50
167,18,0.00,0.00,167.50,0.00,None,None,red,2.00,"167,18","qm18,167",167.50,0.00,0,0,0,0,0,0,0,0,167.50
167,23,22.00,0.00,28.00,25.00,None,None,red,3.00,"167,23","qm23,167",50.00,25.00,0,0,0,0,0,0,0,0,50.00
167,30,17.00,0.00,153.00,10.00,None,None,blue,4.00,"167,30","qm30,167",170.00,10.00,0,0,0,0,0,0,0,0,170.00
167,43,25.00,1.00,169.00,0.00,None,None,red,5.00,"167,43","qm43,167",194.00,1.00,0,0,0,0,0,0,0,0,194.00
525,6,0.00,0.00,36.00,0.00,,,blue,1.00,"167,6","qm6,167",36.00,0.00,0,0,0,0,0,0,0,0,36.00
525,13,0.00,0.00,12.00,0.00,None,None,blue,2.00,"525,13","qm13,525",12.00,0.00,0,0,0,0,0,0,0,0,12.00
