team,averageRank,averageRp,ranks,rps
4646,1.6814,33.2656,"{1: 0.6769, 2: 0.1402, 3: 0.0663, 4: 0.0801, 5: 0.0232, 6: 0.007, 7: 0.0039, 8: 0.0021, 9: 0.0003}","{35: 0.1758, 34: 0.4301, 33: 0.2115, 32: 0.0025, 31: 0.0684, 30: 0.0901, 29: 0.0124, 28: 0.0003, 27: 0.0072, 26: 0.0014, 25: 0.0003}"
2847,1.9037,33.2843,"{1: 0.2697, 2: 0.6264, 3: 0.0544, 4: 0.0342, 5: 0.0122, 6: 0.0023, 7: 0.0004, 8: 0.0001, 9: 0.0002, 10: 0.0001}","{36: 0.0001, 35: 0.0856, 34: 0.3988, 33: 0.404, 32: 0.0142, 31: 0.0365, 30: 0.0476, 29: 0.0118, 28: 0.0004, 27: 0.0004, 26: 0.0004, 25: 0.0002}"
59,2.8104,32.4217,"{1: 0.0106, 2: 0.1976, 3: 0.7781, 4: 0.0045, 5: 0.0045, 6: 0.0034, 7: 0.001, 8: 0.0003}","{34: 0.0292, 33: 0.4046, 32: 0.5519, 31: 0.0011, 30: 0.0029, 29: 0.0068, 28: 0.0035}"
4728,4.5869,29.2607,"{1: 0.0426, 2: 0.0333, 3: 0.0639, 4: 0.4561, 5: 0.1709, 6: 0.1077, 7: 0.0619, 8: 0.0482, 9: 0.0123, 10: 0.0028, 11: 0.0003}","{34: 0.011, 33: 0.0621, 32: 0.0015, 31: 0.0162, 30: 0.5719, 29: 0.0601, 28: 0.0028, 27: 0.1784, 26: 0.0921, 25: 0.0039}"
5809,5.1594,29.6912,"{2: 0.0006, 3: 0.0159, 4: 0.2601, 5: 0.4535, 6: 0.1846, 7: 0.0287, 8: 0.033, 9: 0.0157, 10: 0.0043, 11: 0.0016, 12: 0.0007, 13: 0.0002, 14: 0.0002, 15: 0.0002, 16: 0.0005, 17: 0.0002}","{32: 0.0011, 31: 0.0871, 30: 0.7707, 29: 0.0515, 28: 0.001, 27: 0.0181, 26: 0.0658, 25: 0.0033, 24: 0.0001, 23: 0.0004, 22: 0.0009}"
167,6.4672,27.8171,"{2: 0.0013, 3: 0.0116, 4: 0.144, 5: 0.1927, 6: 0.1624, 7: 0.1822, 8: 0.1925, 9: 0.0788, 10: 0.0123, 11: 0.0065, 12: 0.0086, 13: 0.0058, 14: 0.0013}","{32: 0.003, 31: 0.0717, 30: 0.2489, 29: 0.0194, 28: 0.0725, 27: 0.315, 26: 0.2417, 25: 0.0093, 24: 0.0001, 23: 0.0099, 22: 0.0085}"
7257,8.8795,25.1325,"{4: 0.0011, 5: 0.0367, 6: 0.2031, 7: 0.2515, 8: 0.0865, 9: 0.0452, 10: 0.0581, 11: 0.0833, 12: 0.1203, 13: 0.0572, 14: 0.0194, 15: 0.0036, 16: 0.0075, 17: 0.0095, 18: 0.0087, 19: 0.005, 20: 0.0017, 21: 0.0006, 22: 0.0005, 23: 0.0001, 25: 0.0001, 26: 0.0001, 27: 0.0001, 28: 0.0001}","{28: 0.0266, 27: 0.3369, 26: 0.2248, 25: 0.0216, 24: 0.1184, 23: 0.1826, 22: 0.0495, 21: 0.0036, 20: 0.0191, 19: 0.0151, 18: 0.0014, 17: 0.0001, 16: 0.0003}"
2654,9.2339,25.0939,"{4: 0.0001, 5: 0.0052, 6: 0.0699, 7: 0.2148, 8: 0.2518, 9: 0.0931, 10: 0.0325, 11: 0.0673, 12: 0.1219, 13: 0.1054, 14: 0.0372, 15: 0.0004, 16: 0.0002, 18: 0.0001, 21: 0.0001}","{28: 0.0016, 27: 0.1675, 26: 0.4578, 25: 0.0163, 24: 0.0724, 23: 0.2232, 22: 0.0604, 21: 0.0006, 19: 0.0001, 18: 0.0001}"
1108,9.2552,25.3374,"{1: 0.0002, 2: 0.0006, 3: 0.009, 4: 0.0141, 5: 0.0501, 6: 0.1489, 7: 0.1086, 8: 0.0779, 9: 0.1137, 10: 0.1009, 11: 0.0969, 12: 0.12, 13: 0.1282, 14: 0.0274, 15: 0.0026, 16: 0.0003, 17: 0.0002, 18: 0.0002, 19: 0.0001, 20: 0.0001}","{33: 0.0001, 32: 0.0042, 31: 0.0105, 30: 0.0128, 29: 0.0276, 28: 0.1256, 27: 0.1517, 26: 0.0669, 25: 0.1465, 24: 0.2588, 23: 0.1696, 22: 0.0244, 21: 0.0006, 20: 0.0005, 19: 0.0002}"
6147,9.6414,24.7562,"{4: 0.0005, 5: 0.0032, 6: 0.0045, 7: 0.0129, 8: 0.1557, 9: 0.3489, 10: 0.2529, 11: 0.1265, 12: 0.0556, 13: 0.0257, 14: 0.008, 15: 0.0037, 16: 0.0013, 17: 0.0005, 18: 0.0001}","{29: 0.0006, 28: 0.0114, 27: 0.0006, 26: 0.0077, 25: 0.7389, 24: 0.2193, 23: 0.0081, 22: 0.0015, 21: 0.0102, 20: 0.0017}"
