teams,value
4646,"{1: 0.728, 3: 0.149, 2: 0.066, 4: 0.038, 7: 0.006, 9: 0.004, 6: 0.004, 5: 0.003, 8: 0.002}"
59,"{2: 0.7, 1: 0.129, 4: 0.064, 3: 0.051, 5: 0.039, 6: 0.012, 7: 0.004, 8: 0.001}"
4728,"{3: 0.523, 2: 0.188, 1: 0.139, 4: 0.077, 5: 0.047, 6: 0.024, 7: 0.002}"
2847,"{4: 0.543, 3: 0.185, 5: 0.105, 6: 0.088, 7: 0.043, 8: 0.012, 2: 0.011, 9: 0.006, 14: 0.003, 10: 0.002, 12: 0.001, 1: 0.001}"
2654,"{5: 0.389, 6: 0.234, 4: 0.121, 7: 0.08, 10: 0.045, 8: 0.031, 9: 0.03, 11: 0.027, 12: 0.019, 3: 0.006, 13: 0.006, 14: 0.004, 16: 0.003, 15: 0.003, 17: 0.001, 18: 0.001}"
167,"{6: 0.337, 5: 0.28, 4: 0.102, 7: 0.088, 3: 0.057, 8: 0.034, 2: 0.03, 11: 0.019, 10: 0.015, 12: 0.015, 13: 0.009, 9: 0.008, 1: 0.003, 14: 0.003}"
6147,"{7: 0.308, 8: 0.225, 6: 0.119, 9: 0.108, 5: 0.052, 16: 0.037, 10: 0.031, 4: 0.031, 15: 0.026, 3: 0.024, 17: 0.018, 18: 0.007, 11: 0.007, 14: 0.004, 2: 0.003}"
1108,"{8: 0.263, 9: 0.217, 7: 0.169, 10: 0.076, 6: 0.071, 5: 0.042, 11: 0.036, 12: 0.029, 18: 0.019, 17: 0.017, 15: 0.014, 13: 0.011, 4: 0.01, 16: 0.007, 14: 0.007, 19: 0.006, 20: 0.002, 25: 0.001, 28: 0.001, 21: 0.001, 3: 0.001}"
3928,"{8: 0.231, 7: 0.171, 9: 0.159, 10: 0.074, 17: 0.061, 18: 0.06, 11: 0.053, 16: 0.047, 15: 0.031, 19: 0.027, 6: 0.017, 12: 0.017, 13: 0.012, 27: 0.009, 14: 0.008, 20: 0.008, 26: 0.006, 28: 0.003, 21: 0.002, 22: 0.002, 25: 0.001, 23: 0.001}"
3267,"{10: 0.333, 9: 0.268, 8: 0.082, 17: 0.059, 6: 0.058, 16: 0.048, 15: 0.034, 7: 0.034, 11: 0.03, 5: 0.025, 4: 0.011, 12: 0.006, 14: 0.005, 18: 0.004, 13: 0.003}"
10439,"{11: 0.262, 10: 0.157, 7: 0.081, 17: 0.076, 9: 0.063, 8: 0.062, 12: 0.058, 18: 0.058, 16: 0.041, 13: 0.038, 6: 0.029, 14: 0.021, 5: 0.018, 15: 0.015, 19: 0.012, 3: 0.004, 4: 0.003, 2: 0.002}"
6419,"{12: 0.281, 11: 0.214, 13: 0.175, 14: 0.11, 10: 0.067, 15: 0.064, 21: 0.024, 9: 0.014, 16: 0.013, 20: 0.011, 22: 0.009, 19: 0.005, 17: 0.005, 8: 0.004, 23: 0.002, 18: 0.002}"
7257,"{12: 0.201, 13: 0.176, 11: 0.13, 14: 0.08, 10: 0.071, 19: 0.062, 18: 0.061, 20: 0.044, 9: 0.039, 15: 0.029, 21: 0.025, 17: 0.019, 8: 0.015, 16: 0.014, 22: 0.007, 26: 0.005, 27: 0.004, 28: 0.004, 29: 0.004, 24: 0.002, 23: 0.002, 25: 0.002, 31: 0.002, 7: 0.002}"
5442,"{13: 0.159, 15: 0.13, 12: 0.112, 14: 0.094, 16: 0.086, 11: 0.07, 19: 0.068, 20: 0.046, 10: 0.045, 17: 0.04, 21: 0.04, 18: 0.037, 9: 0.026, 22: 0.016, 8: 0.01, 25: 0.005, 28: 0.004, 27: 0.004, 23: 0.003, 26: 0.002, 7: 0.002, 30: 0.001}"
5809,"{14: 0.335, 15: 0.254, 13: 0.162, 16: 0.127, 12: 0.065, 11: 0.026, 17: 0.017, 10: 0.004, 7: 0.004, 6: 0.003, 8: 0.002, 9: 0.001}"
7848,"{16: 0.266, 17: 0.243, 15: 0.142, 18: 0.082, 22: 0.069, 21: 0.058, 14: 0.045, 20: 0.027, 23: 0.017, 19: 0.015, 24: 0.013, 13: 0.009, 29: 0.002, 12: 0.002, 25: 0.002, 33: 0.002, 28: 0.002, 30: 0.002, 11: 0.001, 26: 0.001}"
967,"{16: 0.15, 15: 0.136, 14: 0.102, 17: 0.091, 13: 0.069, 20: 0.06, 12: 0.058, 10: 0.058, 19: 0.051, 9: 0.048, 11: 0.047, 18: 0.04, 21: 0.037, 8: 0.024, 22: 0.015, 7: 0.006, 6: 0.004, 23: 0.004}"
5837,"{18: 0.277, 17: 0.163, 19: 0.16, 16: 0.096, 23: 0.092, 24: 0.07, 21: 0.034, 25: 0.031, 22: 0.03, 20: 0.016, 15: 0.011, 32: 0.005, 14: 0.004, 30: 0.004, 26: 0.002, 33: 0.001, 34: 0.001, 12: 0.001, 28: 0.001, 31: 0.001}"
10476,"{18: 0.147, 19: 0.134, 13: 0.132, 12: 0.117, 17: 0.115, 14: 0.11, 11: 0.072, 15: 0.057, 20: 0.03, 16: 0.022, 10: 0.019, 24: 0.011, 25: 0.011, 9: 0.007, 23: 0.006, 21: 0.003, 26: 0.002, 8: 0.002, 22: 0.002, 27: 0.001}"
11312,"{20: 0.402, 19: 0.231, 21: 0.101, 14: 0.051, 18: 0.046, 15: 0.036, 13: 0.024, 22: 0.021, 12: 0.016, 26: 0.014, 25: 0.01, 27: 0.01, 23: 0.007, 16: 0.007, 29: 0.006, 28: 0.006, 11: 0.005, 24: 0.004, 17: 0.002, 30: 0.001}"
3723,"{21: 0.353, 20: 0.204, 19: 0.085, 22: 0.074, 26: 0.047, 27: 0.038, 24: 0.036, 25: 0.036, 18: 0.031, 23: 0.022, 28: 0.013, 13: 0.012, 14: 0.012, 15: 0.01, 16: 0.009, 17: 0.006, 29: 0.005, 10: 0.002, 12: 0.002, 9: 0.002, 11: 0.001}"
11219,"{22: 0.344, 23: 0.152, 21: 0.128, 31: 0.07, 29: 0.066, 30: 0.06, 20: 0.041, 24: 0.037, 32: 0.034, 28: 0.03, 33: 0.011, 27: 0.009, 19: 0.007, 25: 0.005, 26: 0.003, 35: 0.001, 18: 0.001, 34: 0.001}"
2227,"{23: 0.127, 30: 0.097, 29: 0.093, 24: 0.085, 31: 0.073, 22: 0.073, 32: 0.046, 25: 0.04, 21: 0.038, 28: 0.036, 27: 0.026, 34: 0.024, 44: 0.024, 33: 0.021, 18: 0.018, 45: 0.018, 17: 0.016, 35: 0.015, 26: 0.013, 37: 0.012, 43: 0.012, 38: 0.012, 19: 0.011, 36: 0.011, 42: 0.009, 20: 0.009, 41: 0.008, 16: 0.008, 40: 0.007, 46: 0.007, 39: 0.006, 15: 0.003, 10: 0.001, 13: 0.001}"
3298,"{24: 0.218, 25: 0.162, 23: 0.146, 18: 0.076, 26: 0.072, 34: 0.072, 19: 0.071, 22: 0.038, 35: 0.037, 17: 0.028, 33: 0.026, 27: 0.014, 20: 0.011, 36: 0.008, 32: 0.006, 28: 0.006, 16: 0.006, 21: 0.002, 37: 0.001}"
9543,"{26: 0.265, 25: 0.255, 24: 0.18, 27: 0.146, 23: 0.051, 28: 0.051, 22: 0.018, 29: 0.018, 30: 0.004, 37: 0.002, 36: 0.002, 38: 0.002, 21: 0.002, 35: 0.002, 31: 0.001, 39: 0.001}"
