teams,value
"(4646, 4143, 5847, 111, 695, 7858, 4174, 3928)",0.0004
"(4646, 5847, 4143, 4174, 695, 4065, 7858, 111)",0.0004
"(4646, 5847, 4143, 695, 4174, 3928, 4065, 7858)",0.0003
"(4646, 5847, 4143, 695, 4174, 111, 7858, 3928)",0.0003
"(4646, 4143, 5847, 4174, 695, 7858, 3928, 4065)",0.0003
"(5847, 4646, 4143, 695, 7858, 4174, 3928, 2530)",0.0003
"(4646, 4143, 5847, 4174, 695, 7858, 111, 3928)",0.0003
"(4646, 4143, 5847, 695, 4174, 111, 3928, 2530)",0.0003
"(4646, 5847, 4143, 695, 4174, 4065, 3928, 111)",0.0003
"(4646, 5847, 4174, 4143, 695, 4065, 2220, 3928)",0.0003
"(4174, 4646, 5847, 4143, 695, 3928, 4065, 6420)",0.0003
"(4646, 5847, 4143, 4174, 695, 7858, 3928, 111)",0.0003
"(4646, 4143, 111, 5847, 3928, 695, 4174, 2220)",0.0003
"(4646, 4143, 695, 5847, 7858, 111, 4174, 2530)",0.0003
"(4646, 5847, 4143, 4174, 695, 111, 7858, 4663)",0.0003
"(4646, 5847, 4143, 695, 111, 7858, 4065, 4174)",0.0003
"(4646, 5847, 4143, 695, 4174, 7858, 2530, 3928)",0.0003
"(4646, 5847, 4174, 4143, 4065, 695, 7858, 3061)",0.0003
"(4646, 5847, 4143, 695, 4174, 7858, 3928, 111)",0.0003
"(5847, 4646, 4143, 7858, 695, 4174, 3061, 111)",0.0002
"(4646, 5847, 4143, 4174, 695, 111, 7858, 3928)",0.0002
"(4646, 4174, 5847, 4143, 695, 7858, 2530, 3928)",0.0002
"(5847, 695, 4174, 4143, 4646, 7858, 111, 4065)",0.0002
"(4646, 5847, 111, 695, 4143, 4065, 4174, 3061)",0.0002
"(4646, 4143, 695, 5847, 3928, 4174, 2220, 6420)",0.0002
"(4143, 4646, 695, 111, 4174, 5847, 3928, 3061)",0.0002
"(4143, 4646, 4174, 5847, 695, 3061, 111, 4065)",0.0002
"(4646, 5847, 4143, 695, 111, 4174, 3928, 3061)",0.0002
"(4646, 4174, 5847, 4143, 695, 7858, 3928, 111)",0.0002
"(4646, 5847, 4143, 4174, 695, 111, 4065, 3061)",0.0002
"(4174, 4646, 4143, 5847, 695, 111, 4065, 7858)",0.0002
"(4646, 5847, 4065, 4143, 4174, 7858, 695, 3928)",0.0002
"(4646, 5847, 4143, 695, 7858, 111, 4174, 3061)",0.0002
"(4143, 4174, 4646, 5847, 111, 695, 4663, 3928)",0.0002
"(4646, 4143, 4174, 695, 5847, 111, 3928, 3061)",0.0002
"(4646, 4143, 5847, 695, 111, 3928, 4065, 7858)",0.0002
"(4646, 4143, 5847, 695, 4174, 3928, 3061, 2530)",0.0002
"(4646, 5847, 695, 4143, 111, 4174, 2220, 3928)",0.0002
"(4174, 4646, 4143, 3928, 5847, 695, 7858, 4663)",0.0002
"(4646, 5847, 4143, 695, 111, 4174, 4065, 3928)",0.0002
"(4646, 5847, 4143, 111, 695, 7858, 6419, 2530)",0.0002
"(4646, 5847, 4143, 4174, 7858, 3928, 695, 3061)",0.0002
"(4646, 5847, 4143, 695, 4174, 6420, 3928, 4065)",0.0002
"(4646, 4143, 5847, 4174, 695, 3928, 7858, 4663)",0.0002
"(4646, 5847, 4143, 4174, 695, 111, 7858, 3061)",0.0002
"(4646, 4143, 5847, 4174, 111, 695, 3928, 7858)",0.0002
"(4646, 4143, 5847, 695, 3928, 7858, 111, 4174)",0.0002
"(4646, 5847, 4143, 695, 4174, 111, 4065, 7858)",0.0002
"(4646, 4143, 5847, 695, 4174, 4065, 7858, 3928)",0.0002
"(4646, 5847, 4143, 3928, 695, 4174, 6419, 2530)",0.0002
"(4143, 5847, 4646, 695, 4174, 3928, 111, 7858)",0.0002
"(4646, 4143, 5847, 3928, 695, 4065, 4174, 7858)",0.0002
"(4646, 5847, 4143, 4174, 695, 111, 6420, 3928)",0.0002
"(5847, 4646, 4174, 4143, 111, 7858, 695, 3061)",0.0002
"(4646, 5847, 4143, 695, 111, 3928, 4174, 4663)",0.0002
"(4143, 4646, 7858, 5847, 695, 4174, 4065, 3928)",0.0002
