match,redScore,redStdev,redRp,redWinChance,redRpChances,blueScore,blueStdev,blueRp,blueWinChance,blueRpChances
52,118.67,38.24,1.02,0.1001,"{0: 0.2713, 1: 0.6286, 2: 0.0, 3: 0.0041, 4: 0.096, 5: 0.0, 6: 0.0}",185.83,41.86,3.68,0.8999,"{0: 0.0202, 1: 0.0799, 2: 0.0, 3: 0.003, 4: 0.8956, 5: 0.0013, 6: 0.0}"
53,140.42,47.39,2.89,0.6799,"{0: 0.119, 1: 0.2011, 2: 0.0, 3: 0.0353, 4: 0.6434, 5: 0.0012, 6: 0.0}",111.94,50.96,1.57,0.3201,"{0: 0.365, 1: 0.3149, 2: 0.0, 3: 0.0261, 4: 0.2935, 5: 0.0005, 6: 0.0}"
54,23.9,18.01,1.14,0.3784,"{0: 0.6216, 1: 0.0, 2: 0.0, 3: 0.3773, 4: 0.0011, 5: 0.0, 6: 0.0}",33.91,34.0,1.89,0.6216,"{0: 0.3784, 1: 0.0, 2: 0.0, 3: 0.5964, 4: 0.0251, 5: 0.0001, 6: 0.0}"
55,41.03,31.59,0.11,0.0263,"{0: 0.9491, 1: 0.0246, 2: 0.0, 3: 0.0226, 4: 0.0037, 5: 0.0, 6: 0.0}",225.98,89.06,3.91,0.9737,"{0: 0.025, 1: 0.0013, 2: 0.0, 3: 0.0401, 4: 0.8773, 5: 0.0563, 6: 0.0}"
56,174.3,66.7,2.98,0.6929,"{0: 0.0922, 1: 0.2149, 2: 0.0, 3: 0.0165, 4: 0.6685, 5: 0.0079, 6: 0.0}",132.48,65.24,1.65,0.3071,"{0: 0.2616, 1: 0.4313, 2: 0.0, 3: 0.015, 4: 0.2902, 5: 0.0019, 6: 0.0}"
57,17.7,17.96,1.97,0.6552,"{0: 0.3448, 1: 0.0, 2: 0.0, 3: 0.6541, 4: 0.0011, 5: 0.0, 6: 0.0}",11.44,7.39,1.03,0.3448,"{0: 0.6552, 1: 0.0, 2: 0.0, 3: 0.3448, 4: 0.0, 5: 0.0, 6: 0.0}"
58,168.69,60.42,2.85,0.6446,"{0: 0.0772, 1: 0.2782, 2: 0.0, 3: 0.0169, 4: 0.6215, 5: 0.0062, 6: 0.0}",136.04,90.23,1.77,0.3554,"{0: 0.2936, 1: 0.3509, 2: 0.0001, 3: 0.0118, 4: 0.3312, 5: 0.0124, 6: 0.0}"
59,14.71,8.98,0.38,0.1264,"{0: 0.8736, 1: 0.0, 2: 0.0, 3: 0.1264, 4: 0.0, 5: 0.0, 6: 0.0}",38.06,20.4,2.63,0.8736,"{0: 0.1264, 1: 0.0, 2: 0.0, 3: 0.8691, 4: 0.0045, 5: 0.0, 6: 0.0}"
60,164.63,67.86,1.13,0.0855,"{0: 0.129, 1: 0.7847, 2: 0.0008, 3: 0.0011, 4: 0.0787, 5: 0.0057, 6: 0.0}",320.3,98.77,4.05,0.9145,"{0: 0.0154, 1: 0.0693, 2: 0.0008, 3: 0.0004, 4: 0.588, 5: 0.3261, 6: 0.0}"
61,124.28,34.83,0.83,0.0127,"{0: 0.2072, 1: 0.7801, 2: 0.0, 3: 0.0003, 4: 0.0123, 5: 0.0001, 6: 0.0}",284.0,59.02,4.03,0.9873,"{0: 0.0043, 1: 0.0084, 2: 0.0, 3: 0.0002, 4: 0.9096, 5: 0.0775, 6: 0.0}"
62,40.15,37.25,0.06,0.0066,"{0: 0.9496, 1: 0.0438, 2: 0.0, 3: 0.0053, 4: 0.0013, 5: 0.0, 6: 0.0}",307.06,89.39,4.22,0.9934,"{0: 0.006, 1: 0.0006, 2: 0.0, 3: 0.0083, 4: 0.7313, 5: 0.2538, 6: 0.0}"
63,21.83,20.1,1.12,0.3741,"{0: 0.6259, 1: 0.0, 2: 0.0, 3: 0.3729, 4: 0.0012, 5: 0.0, 6: 0.0}",31.33,24.79,1.89,0.6259,"{0: 0.3741, 1: 0.0, 2: 0.0, 3: 0.6169, 4: 0.009, 5: 0.0, 6: 0.0}"
64,73.3,38.16,3.08,0.9522,"{0: 0.0478, 1: 0.0, 2: 0.0, 3: 0.7318, 4: 0.2204, 5: 0.0, 6: 0.0}",10.07,7.02,0.14,0.0478,"{0: 0.9522, 1: 0.0, 2: 0.0, 3: 0.0478, 4: 0.0, 5: 0.0, 6: 0.0}"
65,18.84,16.4,0.01,0.0016,"{0: 0.9977, 1: 0.0007, 2: 0.0, 3: 0.0016, 4: 0.0, 5: 0.0, 6: 0.0}",316.24,78.54,4.25,0.9984,"{0: 0.0016, 1: 0.0, 2: 0.0, 3: 0.0059, 4: 0.7322, 5: 0.2603, 6: 0.0}"
66,207.78,73.38,1.28,0.1056,"{0: 0.058, 1: 0.8267, 2: 0.0097, 3: 0.0004, 4: 0.0905, 5: 0.0147, 6: 0.0}",370.39,113.79,4.21,0.8944,"{0: 0.013, 1: 0.0884, 2: 0.0042, 3: 0.0008, 4: 0.3562, 5: 0.5374, 6: 0.0}"
67,270.88,123.37,4.04,0.9693,"{0: 0.0304, 1: 0.0003, 2: 0.0, 3: 0.0333, 4: 0.7364, 5: 0.1996, 6: 0.0}",44.72,17.97,0.1,0.0307,"{0: 0.9639, 1: 0.0054, 2: 0.0, 3: 0.0301, 4: 0.0006, 5: 0.0, 6: 0.0}"
68,201.47,62.87,3.93,0.9865,"{0: 0.0117, 1: 0.0018, 2: 0.0, 3: 0.0334, 4: 0.942, 5: 0.0111, 6: 0.0}",32.79,32.94,0.06,0.0135,"{0: 0.9665, 1: 0.02, 2: 0.0, 3: 0.0101, 4: 0.0034, 5: 0.0, 6: 0.0}"
69,215.92,85.99,3.78,0.9355,"{0: 0.0494, 1: 0.0151, 2: 0.0, 3: 0.0178, 4: 0.8781, 5: 0.0396, 6: 0.0}",85.56,34.23,0.49,0.0645,"{0: 0.6731, 1: 0.2624, 2: 0.0, 3: 0.0257, 4: 0.0387, 5: 0.0001, 6: 0.0}"
70,15.4,17.39,0.19,0.0631,"{0: 0.9366, 1: 0.0003, 2: 0.0, 3: 0.062, 4: 0.0011, 5: 0.0, 6: 0.0}",79.36,43.26,3.08,0.9369,"{0: 0.0631, 1: 0.0, 2: 0.0, 3: 0.6707, 4: 0.2658, 5: 0.0004, 6: 0.0}"
71,10.94,9.66,0.0,0.0005,"{0: 0.9995, 1: 0.0, 2: 0.0, 3: 0.0005, 4: 0.0, 5: 0.0, 6: 0.0}",345.69,61.35,4.39,0.9995,"{0: 0.0005, 1: 0.0, 2: 0.0, 3: 0.0013, 4: 0.6081, 5: 0.3901, 6: 0.0}"
