team,avg_rank,avg_rp
2847,1.7705,12.2696
1108,2.9612,11.3706
7257,3.2374,11.1094
59,7.4064,8.4239
3928,7.5754,8.2643
4646,8.1754,8.283
5809,12.1641,7.7048
7848,12.8328,7.1215
2654,12.9416,7.0894
9092,13.6554,7.221
5442,13.717,7.0702
5914,13.7673,7.0079
5576,14.2398,7.5875
167,17.9597,5.8414
8766,18.223,6.0698
6419,18.606,5.8616
3267,19.0528,5.5843
5837,19.9435,5.6781
2227,20.6703,5.1751
967,20.7486,5.0507
5275,20.9492,5.606
11210,22.2135,5.3841
6147,22.3314,4.7612
11219,24.3779,5.0471
9570,24.5419,5.0716
1997,24.8482,4.607
4728,26.9648,4.2694
8821,27.7122,3.9343
10439,28.8124,4.074
6420,29.2098,4.1226
11312,29.8231,3.8654
8770,30.7817,4.1205
8822,30.8288,3.797
525,32.7048,3.1776
5557,34.8366,3.007
7531,35.21,3.1687
10476,37.0483,3.1624
4260,38.2814,2.6081
5041,39.8284,1.7373
3055,39.8738,2.0158
5935,39.8925,1.8143
5141,41.1327,1.7907
6455,41.3985,1.9811
3298,41.9164,2.0513
3723,42.7078,1.9034
6805,43.471,1.0372
648,43.7062,1.2079
11241,43.7098,0.8855
9543,44.1903,1.5956
9061,45.1135,1.1113
8737,46.3305,1.1044
9579,46.9279,1.2523
7038,49.6765,0.4641
