team,rank,match,redScore,redStdev,redRp,redWinChance,redRpChances,blueScore,blueStdev,blueRp,blueWinChance,blueRpChances
3928,12,52,21.54,49.04,0.2,0.0223,"{0: 0.0499, 1: 0.1067, 2: 0.0, 3: 0.0007, 4: 0.0214, 5: 0.0002, 6: 0.0}",33.04,72.93,0.64,0.1566,"{0: 0.0042, 1: 0.0181, 2: 0.0, 3: 0.0004, 4: 0.1556, 5: 0.0006, 6: 0.0}"
3928,12,53,27.05,60.93,0.59,0.1402,"{0: 0.0066, 1: 0.0321, 2: 0.0, 3: 0.0037, 4: 0.1361, 5: 0.0004, 6: 0.0}",20.11,47.49,0.23,0.0387,"{0: 0.0605, 1: 0.0797, 2: 0.0, 3: 0.002, 4: 0.0366, 5: 0.0001, 6: 0.0}"
3928,12,54,4.17,12.14,0.2,0.0668,"{0: 0.1121, 1: 0.0, 2: 0.0, 3: 0.0665, 4: 0.0003, 5: 0.0, 6: 0.0}",6.16,18.99,0.34,0.1121,"{0: 0.0668, 1: 0.0, 2: 0.0, 3: 0.1068, 4: 0.0053, 5: 0.0, 6: 0.0}"
3928,12,55,7.24,20.45,0.02,0.0047,"{0: 0.1697, 1: 0.0045, 2: 0.0, 3: 0.0041, 4: 0.0006, 5: 0.0, 6: 0.0}",40.71,94.37,0.7,0.1742,"{0: 0.0046, 1: 0.0001, 2: 0.0, 3: 0.0065, 4: 0.1593, 5: 0.0084, 6: 0.0}"
3928,12,56,30.19,70.7,0.49,0.1097,"{0: 0.0183, 1: 0.0509, 2: 0.0, 3: 0.0026, 4: 0.106, 5: 0.0011, 6: 0.0}",24.02,59.61,0.34,0.0692,"{0: 0.0483, 1: 0.0614, 2: 0.0, 3: 0.0024, 4: 0.0661, 5: 0.0007, 6: 0.0}"
3928,12,57,3.1,10.07,0.35,0.115,"{0: 0.0639, 1: 0.0, 2: 0.0, 3: 0.1149, 4: 0.0001, 5: 0.0, 6: 0.0}",2.03,5.36,0.19,0.0639,"{0: 0.115, 1: 0.0, 2: 0.0, 3: 0.0639, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,12,58,30.8,70.84,0.55,0.1293,"{0: 0.0135, 1: 0.0361, 2: 0.0, 3: 0.0033, 4: 0.1248, 5: 0.0012, 6: 0.0}",22.47,60.71,0.27,0.0496,"{0: 0.0576, 1: 0.0717, 2: 0.0, 3: 0.0019, 4: 0.0457, 5: 0.002, 6: 0.0}"
3928,12,59,2.65,6.76,0.07,0.0231,"{0: 0.1558, 1: 0.0, 2: 0.0, 3: 0.0231, 4: 0.0, 5: 0.0, 6: 0.0}",6.86,16.9,0.47,0.1558,"{0: 0.0231, 1: 0.0, 2: 0.0, 3: 0.155, 4: 0.0008, 5: 0.0, 6: 0.0}"
3928,12,60,31.47,72.44,0.23,0.0196,"{0: 0.0119, 1: 0.1469, 2: 0.0005, 3: 0.0004, 4: 0.0176, 5: 0.0016, 6: 0.0}",57.26,129.98,0.71,0.1593,"{0: 0.0033, 1: 0.0162, 2: 0.0001, 3: 0.0, 4: 0.102, 5: 0.0573, 6: 0.0}"
3928,12,61,22.32,49.98,0.15,0.0014,"{0: 0.0347, 1: 0.1428, 2: 0.0, 3: 0.0003, 4: 0.0011, 5: 0.0, 6: 0.0}",51.03,112.01,0.73,0.1775,"{0: 0.0004, 1: 0.001, 2: 0.0, 3: 0.0001, 4: 0.1628, 5: 0.0146, 6: 0.0}"
3928,12,62,7.51,22.2,0.01,0.0,"{0: 0.171, 1: 0.0079, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}",50.58,112.37,0.73,0.1789,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0021, 4: 0.1624, 5: 0.0144, 6: 0.0}"
3928,12,63,3.8,11.73,0.2,0.0651,"{0: 0.1138, 1: 0.0, 2: 0.0, 3: 0.065, 4: 0.0001, 5: 0.0, 6: 0.0}",5.69,16.37,0.34,0.1138,"{0: 0.0651, 1: 0.0, 2: 0.0, 3: 0.1116, 4: 0.0022, 5: 0.0, 6: 0.0}"
3928,12,64,13.04,32.48,0.55,0.1685,"{0: 0.0104, 1: 0.0, 2: 0.0, 3: 0.1273, 4: 0.0412, 5: 0.0, 6: 0.0}",1.78,4.9,0.03,0.0104,"{0: 0.1685, 1: 0.0, 2: 0.0, 3: 0.0104, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,12,65,3.36,10.01,0.0,0.0,"{0: 0.1787, 1: 0.0002, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}",57.55,127.66,0.77,0.1789,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0011, 4: 0.1243, 5: 0.0535, 6: 0.0}"
