teams,value
"[5847, 4143, 4646, 111, 3928, 4174, 3061, 2530]",5332
"[5847, 4143, 4646, 4174, 111, 3061, 3928, 695]",4846
"[5847, 4143, 4646, 4174, 111, 3928, 3061, 695]",4437
"[5847, 4143, 4646, 111, 3928, 4174, 2530, 3061]",3902
"[4646, 5847, 4143, 3928, 4174, 111, 3061, 2530]",3533
"[4646, 5847, 4143, 4174, 111, 3928, 3061, 695]",3023
"[5847, 4143, 4646, 111, 3928, 4174, 3061, 695]",2900
"[5847, 4143, 4646, 3928, 4174, 111, 3061, 2530]",2774
"[4143, 5847, 4646, 111, 3928, 4174, 3061, 2530]",2771
"[5847, 4646, 4143, 3928, 4174, 111, 3061, 2530]",2758
"[4143, 5847, 4646, 4174, 3928, 111, 3061, 2530]",2714
"[5847, 4143, 4646, 111, 3928, 4174, 2220, 3061]",2602
"[4646, 5847, 4143, 4174, 111, 3061, 3928, 695]",2594
"[5847, 4646, 4143, 4174, 111, 3928, 3061, 695]",2458
"[5847, 4143, 4646, 111, 3928, 4174, 695, 3061]",2455
"[5847, 4646, 4143, 4174, 111, 3061, 3928, 695]",2402
"[4646, 5847, 4143, 3928, 4174, 3061, 2530, 695]",2274
"[4143, 5847, 4174, 111, 3928, 4646, 3061, 2530]",2204
"[5847, 4143, 4174, 4646, 111, 3061, 3928, 695]",2119
"[4143, 5847, 4174, 111, 3928, 4646, 3061, 4663]",2067
"[4143, 5847, 4646, 3928, 4174, 111, 3061, 2530]",2049
"[4646, 5847, 4143, 3928, 4174, 111, 2530, 3061]",1993
"[4143, 5847, 4174, 111, 3928, 4646, 2530, 3061]",1992
"[4646, 5847, 4143, 3928, 4174, 695, 111, 3061]",1985
"[5847, 4143, 4646, 4174, 111, 3061, 695, 3928]",1983
"[4143, 4646, 5847, 4174, 3928, 111, 3061, 2530]",1966
"[4143, 5847, 4174, 111, 3928, 4646, 4663, 695]",1961
"[5847, 4646, 4143, 3928, 4174, 111, 3061, 695]",1948
"[5847, 4646, 4143, 3928, 4174, 3061, 2530, 695]",1944
"[4143, 5847, 4646, 4174, 3928, 111, 3061, 4663]",1837
"[4143, 5847, 4646, 111, 3928, 4174, 2530, 3061]",1836
"[4174, 4143, 5847, 111, 4646, 3061, 3928, 4663]",1834
"[4143, 5847, 4174, 4646, 111, 3061, 3928, 695]",1811
"[5847, 4143, 4646, 3928, 4174, 111, 2530, 3061]",1801
"[4143, 5847, 4174, 4646, 111, 3928, 3061, 695]",1789
"[4143, 5847, 4646, 4174, 111, 3928, 3061, 695]",1763
"[5847, 4143, 4646, 3928, 4174, 3061, 111, 2530]",1754
"[4646, 5847, 4143, 3928, 4174, 2530, 3061, 695]",1747
"[5847, 4143, 4174, 4646, 111, 3928, 3061, 695]",1729
"[5847, 4143, 4646, 4174, 111, 2220, 3928, 3061]",1713
"[4143, 5847, 4646, 4174, 111, 3061, 3928, 695]",1706
"[5847, 4143, 4646, 3928, 4174, 111, 3061, 695]",1698
"[5847, 4646, 4143, 3928, 4174, 2530, 3061, 695]",1696
"[4174, 4143, 5847, 111, 4646, 4663, 3928, 3061]",1634
"[4646, 4143, 5847, 3928, 4174, 111, 3061, 2530]",1631
"[4143, 5847, 4646, 4174, 3928, 3061, 2530, 4663]",1579
"[5847, 4143, 4646, 111, 4174, 3928, 3061, 2530]",1561
"[5847, 4143, 4646, 4174, 111, 695, 3928, 3061]",1559
"[4143, 4174, 5847, 111, 3928, 4646, 3061, 4663]",1556
"[4143, 5847, 4646, 4174, 3928, 4663, 695, 111]",1542
"[4143, 5847, 4646, 4174, 3928, 111, 2530, 3061]",1510
"[5847, 4646, 4143, 3928, 4174, 111, 2530, 3061]",1508
"[5847, 4143, 4646, 111, 4174, 3928, 2530, 3061]",1504
"[4143, 5847, 4646, 4174, 3928, 2530, 111, 3061]",1487
"[4143, 5847, 4174, 111, 3928, 4646, 2220, 3061]",1471
"[5847, 4646, 4143, 3928, 4174, 3061, 695, 2530]",1463
"[5847, 4646, 4143, 3928, 4174, 2530, 111, 3061]",1440
"[4174, 4143, 4646, 5847, 111, 3061, 3928, 4663]",1391
"[5847, 4646, 4143, 4174, 3061, 111, 3928, 695]",1390
"[4143, 5847, 4646, 4174, 3928, 4663, 695, 3061]",1384
"[4143, 4174, 5847, 111, 4646, 3061, 3928, 4663]",1380
"[5847, 4143, 4646, 4174, 3061, 111, 3928, 695]",1375
"[4174, 4143, 5847, 111, 4646, 3061, 4663, 3928]",1370
"[5847, 4143, 4646, 111, 3928, 4174, 3061, 2220]",1367
"[4143, 5847, 4646, 3928, 4174, 111, 2530, 3061]",1359
"[4646, 5847, 4143, 3928, 4174, 2530, 111, 3061]",1348
"[4143, 4174, 5847, 111, 3928, 4646, 3061, 2530]",1348
"[5847, 4646, 4143, 4174, 111, 3061, 695, 3928]",1345
"[5847, 4143, 4646, 4174, 111, 2220, 3061, 3928]",1336
"[4143, 4174, 5847, 4646, 111, 3928, 3061, 4663]",1328
"[4143, 4646, 5847, 4174, 3928, 111, 3061, 4663]",1318
"[4143, 5847, 4646, 4174, 3928, 2530, 3061, 4663]",1308
"[4143, 4174, 5847, 111, 3928, 4646, 4663, 3061]",1287
"[4143, 4174, 5847, 4646, 111, 3061, 3928, 4663]",1286
"[5847, 4143, 4646, 4174, 111, 695, 3061, 3928]",1278
"[4143, 4174, 5847, 111, 4646, 3928, 3061, 4663]",1277
"[4143, 5847, 4646, 4174, 3928, 111, 3061, 695]",1260
"[4174, 4143, 4646, 5847, 4663, 695, 111, 3061]",1220
"[4646, 5847, 4143, 3928, 4174, 695, 3061, 2530]",1215
"[4174, 4143, 4646, 5847, 111, 3928, 3061, 4663]",1215
"[4174, 4143, 5847, 4646, 111, 3928, 3061, 4663]",1210
"[4143, 4174, 5847, 111, 3928, 4646, 2530, 3061]",1208
"[4174, 4143, 4646, 5847, 111, 4663, 3928, 3061]",1201
"[5847, 4646, 4143, 3061, 3928, 4174, 111, 695]",1200
"[4143, 4646, 5847, 4174, 3928, 4663, 695, 111]",1190
"[4143, 5847, 4646, 3928, 4174, 3061, 111, 2530]",1165
"[4143, 5847, 4646, 4174, 3928, 3061, 111, 2530]",1157
"[4143, 4646, 5847, 4174, 3928, 3061, 2530, 4663]",1148
"[4646, 5847, 4143, 4174, 3061, 111, 3928, 695]",1148
"[4143, 4646, 4174, 5847, 3928, 111, 3061, 2530]",1145
"[4174, 4143, 5847, 4646, 111, 3061, 3928, 4663]",1144
"[5847, 4143, 4646, 111, 3928, 4174, 2220, 2530]",1143
"[5847, 4143, 4646, 111, 3928, 4174, 695, 2530]",1126
"[4646, 4143, 5847, 4174, 111, 3928, 3061, 695]",1119
"[5847, 4143, 4646, 3928, 4174, 3061, 2530, 695]",1117
"[4143, 5847, 4174, 111, 3928, 4646, 4663, 3061]",1108
"[4174, 4143, 5847, 4646, 111, 4663, 3928, 3061]",1102
"[4174, 4143, 4646, 5847, 3061, 3928, 4663, 695]",1101
"[4174, 4143, 5847, 4646, 4663, 695, 111, 3928]",1100
"[4143, 5847, 4646, 111, 3928, 4174, 2220, 3061]",1096
