teams,value
"(5847, 4143, 4646, 111, 3928, 4174, 3061, 2530)",0.0054
"(5847, 4143, 4646, 4174, 111, 3061, 3928, 695)",0.00515
"(5847, 4143, 4646, 4174, 111, 3928, 3061, 695)",0.00432
"(5847, 4143, 4646, 111, 3928, 4174, 2530, 3061)",0.00372
"(4646, 5847, 4143, 3928, 4174, 111, 3061, 2530)",0.00367
"(4646, 5847, 4143, 4174, 111, 3928, 3061, 695)",0.00298
"(4143, 5847, 4646, 111, 3928, 4174, 3061, 2530)",0.0029
"(5847, 4143, 4646, 3928, 4174, 111, 3061, 2530)",0.00285
"(4143, 5847, 4646, 4174, 3928, 111, 3061, 2530)",0.00283
"(4646, 5847, 4143, 4174, 111, 3061, 3928, 695)",0.0028
"(5847, 4143, 4646, 111, 3928, 4174, 2220, 3061)",0.00279
"(5847, 4143, 4646, 111, 3928, 4174, 3061, 695)",0.00279
"(5847, 4646, 4143, 3928, 4174, 111, 3061, 2530)",0.00273
"(5847, 4646, 4143, 4174, 111, 3061, 3928, 695)",0.00248
"(4646, 5847, 4143, 3928, 4174, 3061, 2530, 695)",0.00242
"(4143, 5847, 4174, 111, 3928, 4646, 3061, 2530)",0.00234
"(5847, 4143, 4646, 111, 3928, 4174, 695, 3061)",0.00228
"(5847, 4646, 4143, 4174, 111, 3928, 3061, 695)",0.00227
"(4143, 5847, 4174, 111, 3928, 4646, 3061, 4663)",0.00219
"(4143, 5847, 4646, 3928, 4174, 111, 3061, 2530)",0.00214
"(4143, 5847, 4174, 111, 3928, 4646, 2530, 3061)",0.0021
"(4646, 5847, 4143, 3928, 4174, 111, 2530, 3061)",0.00207
"(5847, 4646, 4143, 3928, 4174, 111, 3061, 695)",0.00206
"(5847, 4143, 4646, 3928, 4174, 111, 2530, 3061)",0.00198
"(4143, 5847, 4174, 111, 3928, 4646, 4663, 695)",0.00197
"(5847, 4143, 4646, 3928, 4174, 3061, 111, 2530)",0.00197
"(4646, 5847, 4143, 3928, 4174, 695, 111, 3061)",0.00197
"(4143, 5847, 4646, 4174, 3928, 111, 3061, 4663)",0.00194
"(5847, 4143, 4174, 4646, 111, 3061, 3928, 695)",0.00194
"(5847, 4143, 4646, 4174, 111, 2220, 3928, 3061)",0.00193
"(5847, 4646, 4143, 3928, 4174, 3061, 2530, 695)",0.00193
"(5847, 4143, 4646, 4174, 111, 3061, 695, 3928)",0.00192
"(4174, 4143, 5847, 111, 4646, 4663, 3928, 3061)",0.00186
"(4143, 4646, 5847, 4174, 3928, 111, 3061, 2530)",0.00184
"(4143, 5847, 4646, 4174, 111, 3061, 3928, 695)",0.00181
"(4143, 5847, 4174, 4646, 111, 3061, 3928, 695)",0.00181
"(4174, 4143, 5847, 111, 4646, 3061, 3928, 4663)",0.00181
"(4143, 5847, 4646, 111, 3928, 4174, 2530, 3061)",0.00174
"(4646, 5847, 4143, 3928, 4174, 2530, 3061, 695)",0.00173
"(5847, 4143, 4174, 4646, 111, 3928, 3061, 695)",0.0017
"(4143, 5847, 4646, 4174, 111, 3928, 3061, 695)",0.00167
"(5847, 4143, 4646, 111, 4174, 3928, 3061, 2530)",0.00163
"(5847, 4143, 4646, 3928, 4174, 111, 3061, 695)",0.00162
"(4143, 5847, 4646, 4174, 3928, 3061, 2530, 4663)",0.00161
"(4143, 5847, 4646, 4174, 3928, 111, 2530, 3061)",0.00161
"(4143, 5847, 4174, 111, 3928, 4646, 2220, 3061)",0.00159
"(5847, 4143, 4646, 111, 3928, 4174, 3061, 2220)",0.00152
"(4143, 5847, 4646, 4174, 3928, 2530, 111, 3061)",0.00151
"(4143, 4174, 5847, 111, 3928, 4646, 3061, 2530)",0.0015
"(4143, 5847, 4174, 4646, 111, 3928, 3061, 695)",0.00149
"(4143, 5847, 4646, 4174, 3928, 4663, 695, 111)",0.00148
"(4143, 4174, 5847, 111, 3928, 4646, 3061, 4663)",0.00147
"(4646, 4143, 5847, 3928, 4174, 111, 3061, 2530)",0.00147
"(5847, 4143, 4646, 4174, 111, 695, 3928, 3061)",0.00146
"(4174, 4143, 5847, 111, 4646, 3061, 4663, 3928)",0.00145
"(4143, 5847, 4646, 3928, 4174, 111, 2530, 3061)",0.00144
"(5847, 4646, 4143, 3928, 4174, 2530, 111, 3061)",0.00144
"(4143, 5847, 4646, 4174, 3928, 111, 3061, 695)",0.00143
"(5847, 4143, 4646, 4174, 111, 3061, 2220, 3928)",0.00141
"(5847, 4646, 4143, 3928, 4174, 2530, 3061, 695)",0.00141
"(5847, 4143, 4646, 4174, 3061, 111, 3928, 695)",0.0014
"(5847, 4646, 4143, 3928, 4174, 3061, 695, 2530)",0.0014
"(4143, 4174, 5847, 111, 4646, 3061, 3928, 4663)",0.00139
"(5847, 4143, 4646, 111, 4174, 3928, 2530, 3061)",0.00139
"(4143, 4174, 5847, 111, 4646, 3928, 3061, 4663)",0.00138
"(4143, 5847, 4646, 4174, 3928, 4663, 695, 3061)",0.00137
"(5847, 4646, 4143, 4174, 3061, 111, 3928, 695)",0.00134
"(4143, 4646, 5847, 4174, 3928, 4663, 695, 111)",0.00134
"(5847, 4646, 4143, 3928, 4174, 111, 2530, 3061)",0.00134
"(4143, 4646, 5847, 4174, 3928, 111, 3061, 4663)",0.00131
"(5847, 4646, 4143, 4174, 111, 3061, 695, 3928)",0.00131
"(5847, 4143, 4646, 4174, 111, 695, 3061, 3928)",0.0013
"(4143, 5847, 4646, 3928, 4174, 3061, 111, 2530)",0.00129
"(4646, 5847, 4143, 3928, 4174, 111, 3061, 695)",0.00128
"(4143, 4174, 5847, 4646, 111, 3061, 3928, 4663)",0.00127
"(4646, 4143, 5847, 4174, 111, 3928, 3061, 695)",0.00127
"(5847, 4143, 4646, 111, 3928, 4174, 695, 2530)",0.00126
"(4174, 4143, 4646, 5847, 111, 3061, 3928, 4663)",0.00125
"(4174, 4143, 4646, 5847, 4663, 695, 111, 3061)",0.00125
