percent,teams
0.0545,"(4646, 2847, 59, 4728, 5809, 7257, 2654, 167)"
0.0376,"(4646, 2847, 59, 4728, 167, 5809, 7257, 6147)"
0.036,"(4646, 2847, 59, 4728, 5809, 7257, 167, 2654)"
0.0274,"(4646, 2847, 59, 4728, 5809, 167, 7257, 2654)"
0.0247,"(4646, 2847, 59, 4728, 5809, 1108, 2654, 167)"
0.0225,"(4646, 2847, 59, 4728, 5809, 1108, 167, 2654)"
0.0206,"(4646, 2847, 59, 4728, 167, 5809, 1108, 6147)"
0.0125,"(4646, 2847, 59, 4728, 167, 5809, 7257, 1108)"
0.0121,"(2847, 4646, 59, 4728, 5809, 167, 7257, 2654)"
0.0109,"(4646, 2847, 59, 5809, 4728, 7257, 167, 6419)"
0.01,"(4646, 2847, 59, 167, 5809, 4728, 7257, 6419)"
0.0099,"(4646, 2847, 59, 5809, 4728, 7257, 2654, 167)"
0.0089,"(4646, 2847, 59, 167, 5809, 6419, 4728, 7257)"
0.008,"(2847, 4646, 59, 4728, 5809, 7257, 2654, 167)"
0.008,"(4646, 2847, 59, 5809, 6419, 4728, 7257, 2654)"
0.0078,"(4646, 2847, 59, 167, 4728, 5809, 7257, 6147)"
0.0078,"(4646, 2847, 59, 5809, 4728, 7257, 6419, 2654)"
0.007,"(2847, 4646, 59, 4728, 5809, 1108, 167, 2654)"
0.0069,"(4646, 2847, 59, 167, 5809, 1108, 6419, 4728)"
0.0069,"(4646, 2847, 59, 4728, 167, 5809, 7257, 10439)"
0.006,"(2847, 4646, 59, 4728, 5809, 1108, 2654, 167)"
0.006,"(4646, 2847, 59, 5809, 4728, 167, 7257, 2654)"
0.0058,"(4646, 2847, 59, 5809, 1108, 6419, 4728, 2654)"
0.0056,"(4646, 2847, 59, 167, 5809, 7257, 6419, 4728)"
0.0056,"(4646, 2847, 59, 5809, 167, 6419, 4728, 7257)"
0.0054,"(4646, 2847, 59, 167, 5809, 4728, 6419, 7257)"
0.0054,"(2847, 4646, 59, 4728, 167, 5809, 7257, 6147)"
0.0054,"(4646, 2847, 59, 167, 4728, 5809, 7257, 3928)"
0.0054,"(4646, 2847, 59, 5809, 4728, 1108, 167, 6419)"
0.0053,"(4646, 2847, 59, 4728, 7257, 2654, 167, 5809)"
0.0053,"(4646, 2847, 59, 4728, 5809, 167, 2654, 1108)"
0.0051,"(4646, 2847, 59, 5809, 4728, 1108, 167, 2654)"
0.0051,"(4646, 2847, 59, 4728, 5809, 2654, 167, 7257)"
0.0049,"(4646, 2847, 59, 5809, 4728, 7257, 167, 2654)"
0.0049,"(2847, 4646, 59, 4728, 167, 5809, 7257, 1108)"
0.0047,"(4646, 2847, 59, 4728, 5809, 2654, 1108, 167)"
0.0046,"(4646, 2847, 59, 167, 4728, 5809, 1108, 6147)"
0.0045,"(4646, 2847, 59, 167, 5809, 4728, 1108, 6419)"
0.0045,"(4646, 2847, 59, 5809, 4728, 167, 6419, 7257)"
0.0045,"(4646, 2847, 59, 5809, 4728, 1108, 6419, 2654)"
0.0044,"(4646, 2847, 59, 5809, 4728, 1108, 2654, 167)"
0.0043,"(2847, 4646, 59, 4728, 167, 5809, 1108, 6147)"
0.0042,"(4646, 59, 4728, 2847, 5809, 7257, 2654, 167)"
0.0042,"(4646, 2847, 59, 167, 5809, 4728, 7257, 6147)"
0.0041,"(4646, 2847, 59, 5809, 7257, 167, 6419, 4728)"
0.004,"(4646, 2847, 59, 5809, 167, 4728, 7257, 6419)"
0.0038,"(4728, 2847, 59, 4646, 5809, 2654, 167, 6147)"
0.0037,"(2847, 4646, 59, 167, 5809, 6419, 4728, 7257)"
0.0036,"(4646, 2847, 59, 5809, 4728, 167, 7257, 6147)"
0.0036,"(4728, 2847, 59, 4646, 5809, 167, 2654, 6147)"
0.0035,"(4646, 2847, 59, 5809, 4728, 6419, 7257, 2654)"
0.0035,"(4646, 59, 2847, 4728, 5809, 7257, 2654, 167)"
0.0034,"(4646, 2847, 59, 4728, 5809, 2654, 7257, 167)"
0.0034,"(4646, 2847, 59, 5809, 1108, 167, 6419, 4728)"
0.0033,"(2847, 4646, 59, 4728, 5809, 2654, 167, 7257)"
0.0032,"(4646, 2847, 59, 5809, 7257, 6419, 4728, 2654)"
0.0031,"(4646, 2847, 59, 167, 4728, 5809, 7257, 1108)"
0.003,"(2847, 4728, 59, 4646, 167, 5809, 1108, 6147)"
0.0028,"(2847, 4728, 59, 4646, 5809, 167, 2654, 6147)"
0.0027,"(2847, 4646, 59, 4728, 5809, 7257, 167, 2654)"
